Handle;REF;Nombre;Categoria;Descripcion;Proveedor;Costo de compra;Unida de Compra;Unidades por unidad de compra;Presentacion Unidad de compra;Existencias bajas [Restaurante La Antigua Lecheria];Stock óptimo [Restaurante La Antigua Lecheria]
maracuya;10046;Maracuya Inv;ZVerdurasInv;;;900;kilo;1000;gramos;24.000;36.000
pepino-kg;10233;Pepino Kilo inv;ZVerdurasInv;;Verdurero;880;kilo;1000;gramos;1.000;2.000
tomate-mediano-kilo;10278;Tomate Mediano Kilo;ZVerdurasInv;;Verdurero;900;kilo;1000;gramos;8.000;10.000
elote-entero;10195;Elote Entero inv;ZVerdurasInv;;Verdurero;200;;;;4.000;
zuquini;10225;Zuquini Kilo;ZVerdurasInv;;Verdurero;700;kilo;1000;gramos;2.000;3.000
pie-de-manzana-gamu;10332;Pie de Manzana Gamu;ZPorcionesInv;;;800;pastel;8;porciones;;
culantro-castilla;10210;Culantro Castilla Rollo inv;ZVerdurasInv;;Verdurero;230;rollo;10;ramas;5.000;5.000
culantro-coyote-entero;10211;Culantro Coyote Rollo inv;ZVerdurasInv;;Verdurero;175;rollo;10;ramas;5.000;5.000
oregano-1;10192;Oregano Rollo inv;ZVerdurasInv;;Verdurero;400;rollo;10;ramas;3.000;4.000
tomillo;10224;Tomillo Rollo inv;ZVerdurasInv;;Verdurero;375;rollo;10;ramas;3.000;10.000
papa-entera-mediana;10199;Papa Amarilla Mediana Kilo inv;ZVerdurasInv;;Verdurero;1400;;;;30.000;30.000
chile-dulce-entero;10232;Chile Dulce Entero inv;ZVerdurasInv;;Verdurero;350;unidad;1;unidad;10.000;8.000
perejil-rollo-inv;10283;Perejil Rollo Inv;ZVerdurasInv;;Verdurero;400;;;;6.000;10.000
platano-maduro-en-miel-50grs-inv;10254;Platano Maduro en Miel 50grs inv;ZVerdurasInv;;Interno;;;;;50.000;100.000
platano-maduro-negro-entero;10209;Platano Maduro Negro und inv;ZVerdurasInv;;Verdurero;200;;;;10.000;30.000
platano-maduro;10138;Platano Maduro Pinton Und Inv;ZVerdurasInv;;Verdurero;200;;;;10.000;30.000
platano-verde-entero;10207;Platano Verde Und inv;ZVerdurasInv;;Verdurero;200;;;;10.000;30.000
elote-porcion;10196;Elote Porcion inv;ZVerdurasInv;;Interno;200;unidad;1;unidad;10.000;32.000
tamarindo-empacado;10286;Tamarindo Empacado;ZVerdurasInv;;Verdurero;2520;;;;2.000;4.000
lechuga;10226;Lechuga und inv;ZVerdurasInv;;Verdurero;250;unidad;1;unidad;10.000;10.000
limones;10223;Limon und inv;ZVerdurasInv;;Verdurero;120;unidad;1;unidad;20.000;60.000
yuca-entera-kilo;10274;Yuca Entera Kilo;ZVerdurasInv;;Verdurero;360;;;;4.000;10.000
zanahoria-entera;10205;Zanahoria Grande Kg;ZVerdurasInv;;Verdurero;730;;;;5.000;10.000
repollo-morado;10229;Repollo Morado und inv;ZVerdurasInv;;Verdurero;1200;unidad;1;unidad;1.000;3.000
