Hoja	Fila	Campo	Error
products	150	category	category "Naturales" no existe en Categories
products	151	category	category "Naturales" no existe en Categories
products	152	category	category "Naturales" no existe en Categories
products	153	category	category "Naturales" no existe en Categories
products	154	category	category "Naturales" no existe en Categories
products	155	category	category "Naturales" no existe en Categories
products	156	category	category "Naturales" no existe en Categories
products	157	category	category "Naturales" no existe en Categories
products	158	category	category "Naturales" no existe en Categories
products	159	category	category "Naturales" no existe en Categories
products	160	category	category "Naturales" no existe en Categories
products	161	category	category "Naturales" no existe en Categories
products	162	category	category "Pa'compartir" no existe en Categories
products	163	category	category "Pa'picar" no existe en Categories
products	164	category	category "Pa'picar" no existe en Categories
products	165	category	category "Tropicales" no existe en Categories
products	166	category	category "Tropicales" no existe en Categories
products	167	category	category "Tropicales" no existe en Categories
products	168	category	category "Tropicales" no existe en Categories
products	169	category	category "Tropicales" no existe en Categories
products	170	category	category "Tropicales" no existe en Categories
