order_id,method_code,paid_at,status,amount,external_receipt_no
11170,CASH,2026-02-01 22:40:00,PAID,11800.00,1146
11169,CARD,2026-02-01 22:39:00,PAID,25000.00,1145
11168,CARD,2026-02-01 22:36:00,PAID,3000.00,1144
11167,CARD,2026-02-01 22:36:00,PAID,3900.00,1143
11166,CARD,2026-02-01 22:35:00,PAID,14000.00,1142
11165,CARD,2026-02-01 22:34:00,PAID,4400.00,1141
11164,CARD,2026-02-01 22:34:00,PAID,8300.00,1140
11163,CARD,2026-02-01 22:33:00,PAID,26200.00,1139
11162,CARD,2026-02-01 22:33:00,PAID,4000.00,1138
11161,CARD,2026-02-01 22:30:00,PAID,16050.00,1137
11160,CARD,2026-02-01 22:30:00,PAID,16000.00,1136
11159,CARD,2026-02-01 22:28:00,PAID,22350.00,1135
11158,CARD,2026-02-01 22:24:00,PAID,-3000.00,3-11435
11157,CARD,2026-02-01 22:23:00,PAID,20100.00,1134
11156,CASH,2026-02-01 22:23:00,PAID,13250.00,1133
11155,CARD,2026-02-01 22:22:00,PAID,2500.00,1132
11154,CARD,2026-02-01 22:21:00,PAID,3625.00,1131
11153,CARD,2026-02-01 21:39:00,PAID,10700.00,1130
11152,CARD,2026-02-01 21:39:00,PAID,7300.00,1129
11151,CARD,2026-02-01 21:37:00,PAID,30900.00,1128
11150,CASH,2026-02-01 21:35:00,PAID,1000.00,3-11434
11149,CARD,2026-02-01 21:34:00,PAID,7300.00,1127
11148,CARD,2026-02-01 21:34:00,PAID,28100.00,1126
11147,CARD,2026-02-01 21:32:00,PAID,18000.00,1125
11146,CARD,2026-02-01 21:31:00,PAID,-5700.00,3-11433
11145,CARD,2026-02-01 21:30:00,PAID,-15500.00,3-11432
11144,CARD,2026-02-01 21:30:00,PAID,17500.00,1124
11143,CARD,2026-02-01 21:30:00,PAID,31500.00,1123
11142,CARD,2026-02-01 21:28:00,PAID,13200.00,1122
11141,CARD,2026-02-01 21:20:00,PAID,37400.00,1121
11140,CARD,2026-02-01 21:18:00,PAID,26000.00,26-1089
11139,CARD,2026-02-01 21:15:00,PAID,27750.00,26-1088
11138,CARD,2026-02-01 21:13:00,PAID,5900.00,26-1087
11137,CARD,2026-02-01 21:12:00,PAID,6000.00,26-1086
11136,CARD,2026-02-01 21:10:00,PAID,4600.00,26-1085
11135,CARD,2026-02-01 21:09:00,PAID,7700.00,26-1084
11134,CARD,2026-02-01 21:09:00,PAID,6600.00,26-1083
11133,CARD,2026-02-01 21:07:00,PAID,5250.00,1120
11132,CARD,2026-02-01 21:04:00,PAID,8450.00,1119
11131,CARD,2026-02-01 21:04:00,PAID,6500.00,1118
11130,CARD,2026-02-01 21:02:00,PAID,7500.00,1117
11129,CARD,2026-02-01 21:02:00,PAID,7300.00,1116
11128,CARD,2026-02-01 20:46:00,PAID,22900.00,1115
11127,CARD,2026-02-01 20:46:00,PAID,7700.00,1114
11126,CARD,2026-02-01 20:43:00,PAID,7700.00,1113
11125,CARD,2026-02-01 20:42:00,PAID,10300.00,1112
11124,CARD,2026-02-01 20:31:00,PAID,14350.00,1111
11123,CARD,2026-02-01 20:30:00,PAID,6500.00,1110
11122,CARD,2026-02-01 20:27:00,PAID,14700.00,1109
11121,CARD,2026-02-01 20:27:00,PAID,5300.00,1108
11120,CARD,2026-02-01 20:22:00,PAID,28700.00,1107
11119,CARD,2026-02-01 20:15:00,PAID,14000.00,1106
11118,CARD,2026-02-01 20:15:00,PAID,7300.00,1105
11117,CARD,2026-02-01 20:15:00,PAID,7000.00,1104
11116,CARD,2026-02-01 20:08:00,PAID,29200.00,1103
11115,CARD,2026-02-01 20:04:00,PAID,1125.00,1102
11114,CARD,2026-02-01 19:45:00,PAID,9450.00,1101
11113,CARD,2026-02-01 19:13:00,PAID,10200.00,1100
11112,CARD,2026-02-01 18:39:00,PAID,2500.00,1099
11111,CARD,2026-02-01 18:30:00,PAID,11400.00,1098
11110,CARD,2026-02-01 18:29:00,PAID,27200.00,1097
11109,CARD,2026-02-01 18:05:00,PAID,14400.00,1096
11108,CARD,2026-01-31 23:19:00,PAID,18200.00,26-1082
11107,CARD,2026-01-31 22:48:00,PAID,14900.00,1095
11106,CARD,2026-01-31 22:11:00,PAID,2000.00,1094
11105,CARD,2026-01-31 22:10:00,PAID,14400.00,1093
11104,CARD,2026-01-31 21:54:00,PAID,7100.00,1092
11103,CARD,2026-01-31 21:52:00,PAID,10050.00,1091
11102,CASH,2026-01-31 21:48:00,PAID,15625.00,1090
11101,CASH,2026-01-31 21:34:00,PAID,12800.00,1089
11100,CARD,2026-01-31 21:27:00,PAID,8500.00,1088
11099,CARD,2026-01-31 21:25:00,PAID,1550.00,1087
11098,CARD,2026-01-31 21:22:00,PAID,14200.00,1086
11097,CARD,2026-01-31 21:17:00,PAID,1800.00,3-11431
11096,CARD,2026-01-31 21:13:00,PAID,14150.00,1085
11095,CASH,2026-01-31 21:06:00,PAID,2500.00,3-11430
11094,CARD,2026-01-31 21:02:00,PAID,2500.00,1084
11093,CARD,2026-01-31 20:48:00,PAID,3000.00,1083
11092,CARD,2026-01-31 20:40:00,PAID,15850.00,1082
